Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
209,L3Harris Technologies,LHX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,37.0,yes,no,no,no,no,no,50000,40508.1,19419.0,13.8,1227.0,15.5,41687.0,Christopher E. Kubasik,U.S.,Melbourne,Florida,https://www.l3harris.com,Public,"Market value as of March 28, 2024.",40508.0,2024-06-04
210,Adobe,ADBE,Technology,Computer Software,yes,no,no,yes,23.0,yes,no,no,no,yes,yes,29945,226060.8,19409.0,10.2,5428.0,14.1,29779.0,Shantanu Narayen,U.S.,San Jose,California,https://www.adobe.com,Public,"Figures are for fiscal year ended Nov. 30, 2023. Market value as of March 28, 2024.",226061.0,2024-06-04
211,Becton Dickinson,BDX,Health Care,Medical Products and Equipment,yes,no,no,no,-2.0,no,yes,no,no,no,no,73000,71488.9,19372.0,-0.2,1484.0,-16.6,52780.0,Thomas E. Polen,U.S.,Franklin Lakes,New Jersey,https://www.bd.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",71489.0,2024-06-04
212,Pioneer Natural Resources,PXD,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-48.0,no,yes,no,no,no,no,2213,61326.1,19362.0,-20.3,4894.0,-37.6,36613.0,Richard P. Dealy,U.S.,Irving,Texas,https://www.pxd.com,Private,"Revenue and net income for the four quarters ended on or before April 30, 2023. Market value as of Oct. 13, 2023.",61326.0,2024-06-04
213,Cognizant Technology Solutions,CTSH,Technology,Information Technology Services,yes,no,no,no,-5.0,no,yes,no,no,no,no,347700,36486.8,19353.0,-0.4,2126.0,-7.2,18483.0,Ravi Kumar S,U.S.,Teaneck,New Jersey,https://www.cognizant.com,Public,"Market value as of March 28, 2024.",36487.0,2024-06-04
214,Murphy USA,MUSA,Retailing,Specialty Retailers: Other,yes,no,no,yes,-32.0,no,yes,no,no,no,no,10750,8726.5,19238.2,-9.5,556.8,-17.3,4340.1,R. Andrew Clyde,U.S.,El Dorado,Arkansas,https://www.murphyusa.com,Public,"Excise taxes have been deducted. Market value as of March 28, 2024.",8727.0,2024-06-04
215,Fiserv,FI,Business Services,Financial Data Services,yes,no,no,yes,15.0,yes,no,no,no,yes,no,42000,94358.1,19093.0,7.6,3068.0,21.3,90890.0,Frank J. Bisignano,U.S.,Milwaukee,Wisconsin,https://www.fiserv.com,Public,"Market value as of March 28, 2024.",94358.0,2024-06-04
216,Parker-Hannifin,PH,Industrials,Industrial Machinery,yes,no,yes,yes,45.0,yes,no,no,no,no,no,62730,71369.5,19065.2,20.2,2082.9,58.3,29964.5,Jennifer A. Parmentier,U.S.,Cleveland,Ohio,https://www.phstock.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",71370.0,2024-06-04
217,American Electric Power,AEP,Energy,Utilities: Gas and Electric,yes,no,no,yes,-12.0,no,yes,no,no,no,no,17250,45339.4,18982.3,-3.3,2208.1,-4.3,96684.0,William J. Fehrman,U.S.,Columbus,Ohio,https://www.aep.com,Public,"Market value as of March 28, 2024.",45339.0,2024-06-04
218,International Paper,IP,Materials,"Packaging, Containers",yes,no,no,no,-34.0,no,yes,no,no,yes,no,39000,13514.7,18916.0,-10.6,288.0,-80.9,23261.0,Andrew K. Silvernail,U.S.,Memphis,Tennessee,https://www.internationalpaper.com,Public,"Market value as of March 28, 2024.",13515.0,2024-06-04
219,ManpowerGroup,MAN,Business Services,Temporary Help,yes,no,no,no,-17.0,no,yes,no,no,no,no,27900,3756.3,18914.5,-4.6,88.8,-76.2,8830.2,Jonas Prising,U.S.,Milwaukee,Wisconsin,https://www.manpowergroup.com,Public,"Market value as of March 28, 2024.",3756.0,2024-06-04
220,Aramark,ARMK,Business Services,Diversified Outsourcing Services,yes,no,no,no,33.0,yes,no,no,no,no,no,262550,8535.0,18853.9,15.5,674.1,246.6,16871.2,John J. Zillmer,U.S.,Philadelphia,Pennsylvania,https://www.aramark.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",8535.0,2024-06-04
221,Steel Dynamics,STLD,Materials,Metals,yes,yes,no,yes,-45.0,no,yes,no,no,yes,no,12600,23412.5,18795.3,-15.6,2450.9,-36.5,14908.4,Mark D. Millett,U.S.,Fort Wayne,Indiana,https://www.steeldynamics.com,Public,"Market value as of March 28, 2024.",23413.0,2024-06-04
222,Aflac,AFL,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,-15.0,no,yes,no,no,yes,no,12785,49404.5,18701.0,-4.1,4659.0,10.9,126724.0,Daniel P. Amos,U.S.,Columbus,Georgia,https://www.aflac.com,Public,"Market value as of March 28, 2024.",49405.0,2024-06-04
223,Reinsurance Group of America,RGA,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,34.0,yes,no,no,no,yes,no,3900,12683.2,18567.0,14.2,902.0,44.8,97623.0,Tony Cheng,U.S.,Chesterfield,Missouri,https://www.rgare.com,Public,"Market value as of March 28, 2024.",12683.0,2024-06-04
224,Emerson Electric,EMR,Industrials,Industrial Machinery,yes,no,no,no,-18.0,no,yes,no,no,no,no,67000,64842.2,18370.0,-6.4,13219.0,309.1,42746.0,S.L. Karsanbhai,U.S.,St. Louis,Missouri,https://www.emerson.com,Public,"Includes revenues from discontinued operations. Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",64842.0,2024-06-04
225,State Street,STT,Financials,Commercial Banks,yes,no,no,yes,80.0,yes,no,no,no,yes,no,46451,23346.3,18366.0,34.1,1944.0,-29.9,297258.0,Ronald P. O'Hanley,U.S.,Boston,Massachusetts,https://www.statestreet.com,Public,"Market value as of March 28, 2024.",23346.0,2024-06-04
226,PPG Industries,PPG,Chemicals,Chemicals,yes,no,no,yes,6.0,yes,no,no,no,yes,no,53000,34103.8,18246.0,3.4,1270.0,23.8,21647.0,Timothy M. Knavish,U.S.,Pittsburgh,Pennsylvania,https://www.ppg.com,Public,"Market value as of March 28, 2024.",34104.0,2024-06-04
227,United States Steel,X,Materials,Metals,yes,no,no,no,-41.0,no,yes,no,no,no,no,21803,9168.0,18053.0,-14.3,895.0,-64.5,20451.0,David B. Burritt,U.S.,Pittsburgh,Pennsylvania,https://www.ussteel.com,Public,"Market value as of March 28, 2024.",9168.0,2024-06-04
228,Automatic Data Processing,ADP,Business Services,Diversified Outsourcing Services,yes,no,yes,yes,23.0,yes,no,no,no,yes,no,63000,102590.8,18012.2,9.2,3412.0,15.7,50971.0,Maria Black,U.S.,Roseland,New Jersey,https://www.adp.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",102591.0,2024-06-04
229,Group 1 Automotive,GPI,Retailing,"Automotive Retailing, Services",yes,no,no,yes,23.0,yes,no,no,no,no,no,16011,3999.4,17873.7,8.9,601.6,-19.9,7774.1,Daryl A. Kenningham,U.S.,Houston,Texas,https://www.group1auto.com,Public,"Market value as of March 28, 2024.",3999.0,2024-06-04
230,Dominion Energy,D,Energy,Utilities: Gas and Electric,yes,no,no,yes,12.0,yes,no,no,no,no,no,17700,41201.2,17867.0,4.0,1994.0,100.6,109032.0,Robert M. Blue,U.S.,Richmond,Virginia,https://www.dominionenergy.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",41201.0,2024-06-04
231,BlackRock,BLK,Financials,Securities,yes,yes,no,no,-2.0,no,yes,no,no,yes,no,19800,124173.4,17859.0,-0.1,5502.0,6.3,123211.0,Laurence D. Fink,U.S.,New York,New York,https://www.blackrock.com,Public,"Market value as of March 28, 2024.",124173.0,2024-06-04
232,Oneok,OKE,Energy,Pipelines,yes,no,no,yes,-59.0,no,yes,no,no,no,no,4775,46751.9,17677.0,-21.0,2659.0,54.4,44266.0,Pierce H. Norton II,U.S.,Tulsa,Oklahoma,https://www.oneok.com,Public,"Acquired Magellan Midstream Partners (2022 rank: 861), Sept. 25, 2023. Market value as of March 28, 2024.",46752.0,2024-06-04
233,C.H. Robinson Worldwide,CHRW,Transportation,Transportation and Logistics,yes,no,no,no,-73.0,no,yes,no,no,yes,no,15246,8907.9,17596.4,-28.7,325.1,-65.4,5225.3,David P. Bozeman,U.S.,Eden Prairie,Minnesota,https://www.chrobinson.com,Public,"Market value as of March 28, 2024.",8908.0,2024-06-04
234,Texas Instruments,TXN,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-34.0,no,yes,no,no,no,no,34000,158540.8,17519.0,-12.5,6510.0,-25.6,32348.0,Haviv Ilan,U.S.,Dallas,Texas,https://www.ti.com,Public,"Market value as of March 28, 2024.",158541.0,2024-06-04
235,Kohl's,KSS,Retailing,General Merchandisers,yes,no,no,no,-9.0,no,yes,no,no,yes,no,66000,3232.9,17476.0,-3.4,317.0,,14009.0,Thomas A. Kingsbury,U.S.,Menomonee Falls,Wisconsin,https://www.kohls.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",3233.0,2024-06-04
236,AutoZone,AZO,Retailing,Specialty Retailers: Other,yes,no,no,yes,22.0,yes,no,no,no,yes,no,95200,54532.7,17457.2,7.4,2528.4,4.1,15985.9,Philip B. Daniele III,U.S.,Memphis,Tennessee,https://www.autozone.com,Public,"Figures are for fiscal year ended Aug. 31, 2023. Market value as of March 28, 2024.",54533.0,2024-06-04
237,Lam Research,LRCX,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,3.0,yes,no,no,no,yes,no,17200,127375.7,17428.5,1.2,4510.9,-2.0,18781.6,Timothy M. Archer,U.S.,Fremont,California,https://www.lamresearch.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",127376.0,2024-06-04
238,Corteva,CTVA,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,0.0,no,no,no,no,yes,no,22500,40304.4,17226.0,-1.3,735.0,-35.9,42996.0,Charles V. Magro,U.S.,Indianapolis,Indiana,https://www.corteva.com,Public,"Market value as of March 28, 2024.",40304.0,2024-06-04
239,Peter Kiewit Sons',,Engineering & Construction,Engineering & Construction,yes,no,no,yes,68.0,yes,no,no,no,no,no,31100,,17118.0,25.3,1176.0,65.6,9724.0,Rick Lanoha,U.S.,Omaha,Nebraska,https://www.kiewit.com,Private,"Market value as of March 31, 2021.",,2024-06-04
240,Builders FirstSource,BLDR,Materials,"Building Materials, Glass",yes,no,no,no,-68.0,no,yes,no,no,no,no,29000,25430.6,17097.3,-24.8,1540.6,-44.0,10499.5,Dave Rush,U.S.,Irving,Texas,https://www.bldr.com,Public,"Market value as of March 28, 2024.",25431.0,2024-06-04
241,Kyndryl Holdings,KD,Technology,Information Technology Services,no,no,no,no,-16.0,no,yes,no,no,no,no,90000,5007.0,17026.0,-7.0,-1374.0,,11464.0,Martin J. Schroeter,U.S.,New York,New York,https://www.kyndryl.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",5007.0,2024-06-04
242,EchoStar,SATS,Telecommunications,Telecommunications,no,no,no,yes,0.0,no,no,yes,no,no,no,15300,3869.1,17015.6,751.6,-1702.1,-1061.3,57108.9,Hamid Akhavan,U.S.,Englewood,Colorado,https://www.echostar.com,Public,"Acquired DISH Network (2022 rank: 249), Dec. 31, 2023. Accounting treatment of the merger was a 'Business Combination' with DISH Network and EchoStar financials presented on a combined basis. 2022 figures are for EchoStar and not restated for merger. Market value as of March 28, 2024.",3869.0,2024-06-04
243,American Family Insurance Group,,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,58.0,yes,no,no,no,no,no,12417,,16999.9,23.1,-891.0,,38023.5,William Westrate,U.S.,Madison,Wisconsin,https://www.amfam.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,2024-06-04
244,Delek US Holdings,DK,Energy,Petroleum Refining,yes,no,no,no,-46.0,no,yes,no,no,no,no,3591,1968.0,16917.4,-16.4,19.8,-92.3,7171.8,Avigal Soreq,U.S.,Brentwood,Tennessee,https://www.delekus.com,Public,"Excise taxes have been deducted. Market value as of March 28, 2024.",1968.0,2024-06-04
245,Land O'Lakes,,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,yes,no,-32.0,no,yes,no,no,no,no,9000,,16794.9,-12.6,254.2,5.4,9464.3,Beth E. Ford,U.S.,Arden Hills,Minnesota,https://www.landolakesinc.com,Private,A cooperative.,,2024-06-04
246,Sempra,SRE,Energy,Utilities: Gas and Electric,yes,no,no,yes,39.0,yes,no,no,no,yes,no,16835,45438.8,16720.0,15.8,3074.0,43.8,87181.0,Jeffrey W. Martin,U.S.,San Diego,California,https://www.sempra.com,Public,"Market value as of March 28, 2024.",45439.0,2024-06-04
247,Global Partners,GLP,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,-27.0,no,yes,no,no,yes,no,4273,1508.7,16492.2,-12.6,152.5,-57.9,3446.0,Eric Slifka,U.S.,Waltham,Massachusetts,https://www.globalp.com,Public,"A partnership. Market value as of March 28, 2024.",1509.0,2024-06-04
248,Grainger,GWW,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,24.0,yes,no,no,no,yes,yes,24650,49983.2,16478.0,8.2,1829.0,18.2,8147.0,D.G.  Macpherson,U.S.,Lake Forest,Illinois,https://www.grainger.com,Public,"Market value as of March 28, 2024.",49983.0,2024-06-04
249,Jacobs Solutions,J,Business Services,Diversified Outsourcing Services,yes,no,no,yes,28.0,yes,no,no,no,no,no,58550,19316.3,16352.4,9.6,665.8,3.4,14617.1,Bob Pragada,U.S.,Dallas,Texas,https://www.jacobs.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",19316.0,2024-06-04
250,Edison International,EIX,Energy,Utilities: Gas and Electric,yes,no,no,yes,-9.0,no,yes,no,no,no,no,14346,27208.4,16338.0,-5.1,1197.0,95.6,81758.0,Pedro J. Pizarro,U.S.,Rosemead,California,https://www.edisoninvestor.com,Public,"Market value as of March 28, 2024.",27208.0,2024-06-04
251,MGM Resorts International,MGM,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,64.0,yes,no,no,no,no,no,67000,14966.3,16164.2,23.1,1142.2,-22.5,42368.5,William J. Hornbuckle,U.S.,Las Vegas,Nevada,https://www.mgmresorts.com,Public,"Market value as of March 28, 2024.",14966.0,2024-06-04
252,Guardian Life Ins. Co. of America,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,29.0,yes,no,no,no,no,no,7561,,16137.0,10.1,375.0,428.2,96202.0,Andrew J. McMahon,U.S.,New York,New York,https://www.guardianlife.com,Private,"Market value as of March 31, 2021.",,2024-06-04
253,Illinois Tool Works,ITW,Industrials,Industrial Machinery,yes,no,no,no,7.0,yes,no,no,no,yes,no,45000,80162.3,16107.0,1.1,2957.0,-2.5,15518.0,Christopher A. O'Herlihy,U.S.,Glenview,Illinois,https://www.itw.com,Public,"Market value as of March 28, 2024.",80162.0,2024-06-04
254,Ameriprise Financial,AMP,Financials,Diversified Financials,yes,no,no,yes,35.0,yes,no,no,no,no,no,13800,43927.7,16096.0,12.2,2556.0,-0.1,175191.0,James M. Cracchiolo,U.S.,Minneapolis,Minnesota,https://www.ameriprise.com,Public,"Market value as of March 28, 2024.",43928.0,2024-06-04
255,PulteGroup,PHM,Engineering & Construction,Homebuilders,yes,no,no,no,4.0,yes,no,no,no,yes,yes,6382,25449.4,16061.6,-1.0,2602.4,-0.6,16087.1,Ryan R. Marshall,U.S.,Atlanta,Georgia,https://www.pultegroupinc.com,Public,"Market value as of March 28, 2024.",25449.0,2024-06-04
256,Targa Resources,TRGP,Energy,Pipelines,yes,no,no,yes,-68.0,no,yes,no,no,no,no,3182,24921.7,16060.3,-23.3,1345.9,12.6,20671.8,Matthew J. Meloy,U.S.,Houston,Texas,https://www.targaresources.com,Public,"Market value as of March 28, 2024.",24922.0,2024-06-04
257,Ally Financial,ALLY,Financials,Diversified Financials,yes,no,no,no,81.0,yes,no,no,no,no,yes,11100,12337.7,15971.0,30.9,1020.0,-40.5,196392.0,Michael G. Rhodes,U.S.,Detroit,Michigan,https://www.ally.com,Public,"Market value as of March 28, 2024.",12338.0,2024-06-04
258,BorgWarner,BWA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,4.0,yes,no,no,no,yes,no,39900,8023.4,15921.0,0.8,625.0,-33.8,14453.0,Frederic B. Lissalde,U.S.,Auburn Hills,Michigan,https://www.borgwarner.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",8023.0,2024-06-04
259,Estée Lauder,EL,Household Products,Household and Personal Products,yes,no,no,no,-29.0,no,yes,no,no,yes,no,53010,55258.7,15910.0,-10.3,1006.0,-57.9,23415.0,Fabrizio Freda,U.S.,New York,New York,https://www.elcompanies.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",55259.0,2024-06-04
260,Loews,L,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,37.0,yes,no,no,no,no,no,12280,17396.1,15901.0,13.2,1434.0,41.7,79197.0,James S. Tisch,U.S.,New York,New York,https://www.loews.com,Public,"Market value as of March 28, 2024.",17396.0,2024-06-04
261,O'Reilly Automotive,ORLY,Retailing,Specialty Retailers: Other,yes,no,no,yes,26.0,yes,no,no,no,no,no,82958,66634.4,15812.3,9.7,2346.6,8.0,13873.0,Brad Beckham,U.S.,Springfield,Missouri,https://www.oreillyauto.com,Public,"Market value as of March 28, 2024.",66634.0,2024-06-04
262,Markel Group,MKL,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,90.0,yes,no,no,no,no,no,21600,19946.7,15803.6,35.4,1996.1,,55045.7,Thomas S. Gayner,U.S.,Glen Allen,Virginia,https://www.mklgroup.com,Public,"Market value as of March 28, 2024.",19947.0,2024-06-04
263,Stanley Black & Decker,SWK,Household Products,"Home Equipment, Furnishings",no,no,no,no,-36.0,no,yes,no,no,yes,no,50500,15062.0,15781.1,-12.3,-310.5,-129.2,23663.8,Donald Allan Jr.,U.S.,New Britain,Connecticut,https://www.stanleyblackanddecker.com,Public,"Market value as of March 28, 2024.",15062.0,2024-06-04
264,Micron Technology,MU,Technology,Semiconductors and Other Electronic Components,no,no,no,no,-128.0,no,yes,no,no,no,no,43000,130547.6,15540.0,-49.5,-5833.0,-167.1,64254.0,Sanjay Mehrotra,U.S.,Boise,Idaho,https://www.micron.com,Public,"Figures are for fiscal year ended Aug. 31, 2023. Market value as of March 28, 2024.",130548.0,2024-06-04
265,Fluor,FLR,Engineering & Construction,Engineering & Construction,yes,no,no,no,38.0,yes,no,no,no,no,no,30187,7192.3,15474.0,12.6,139.0,-4.1,6973.0,David E. Constable,U.S.,Irving,Texas,https://www.fluor.com,Public,"Market value as of March 28, 2024.",7192.0,2024-06-04
266,Leidos Holdings,LDOS,Technology,Information Technology Services,yes,no,no,yes,22.0,yes,no,no,no,no,no,47000,17700.6,15438.0,7.2,199.0,-70.9,12695.0,Thomas A. Bell,U.S.,Reston,Virginia,https://www.leidos.com,Public,"Market value as of March 28, 2024.",17701.0,2024-06-04
267,Viatris,VTRS,Health Care,Pharmaceuticals,yes,no,no,yes,-11.0,no,yes,no,no,no,no,38000,14179.6,15426.9,-5.1,54.7,-97.4,47685.5,Scott A. Smith,U.S.,Canonsburg,Pennsylvania,https://www.viatris.com,Public,"Market value as of March 28, 2024.",14180.0,2024-06-04
268,Kinder Morgan,KMI,Energy,Pipelines,yes,no,yes,yes,-54.0,no,yes,no,no,no,no,10891,40703.3,15334.0,-20.1,2391.0,-6.2,71020.0,Kimberly A. Dang,U.S.,Houston,Texas,https://www.kindermorgan.com,Public,"Market value as of March 28, 2024.",40703.0,2024-06-04
269,Ecolab,ECL,Chemicals,Chemicals,yes,no,no,yes,24.0,yes,no,no,no,yes,no,48000,66017.1,15320.2,8.0,1372.3,25.7,21846.6,Christophe Beck,U.S.,St. Paul,Minnesota,https://www.ecolab.com,Public,"Market value as of March 28, 2024.",66017.0,2024-06-04
270,Baxter International,BAX,Health Care,Medical Products and Equipment,yes,no,no,no,4.0,yes,no,no,no,no,no,60000,21704.5,15282.0,1.1,2656.0,,28276.0,Jos? E. Almeida,U.S.,Deerfield,Illinois,https://www.baxter.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",21705.0,2024-06-04
271,Devon Energy,DVN,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-55.0,no,yes,no,no,no,no,1900,31864.3,15258.0,-20.4,3747.0,-37.7,24490.0,Richard E. Muncrief,U.S.,Oklahoma City,Oklahoma,https://www.devonenergy.com,Public,"Market value as of March 28, 2024.",31864.0,2024-06-04
272,Kellanova,K,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-2.0,no,yes,no,no,no,no,23000,19579.4,15207.0,-0.7,951.0,-0.9,15621.0,Steven A. Cahillane,U.S.,Chicago,Illinois,https://www.kellanova.com,Public,"Includes revenues from discontinued operations. Spun off WK Kellogg and changed name from Kellogg, Oct. 2, 2023. Market value as of March 28, 2024.",19579.0,2024-06-04
273,Farmers Insurance Exchange,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,22.0,yes,no,no,no,no,no,9685,,15194.4,7.8,-652.9,,23677.7,Raul Vargas,U.S.,Woodland Hills,California,https://www.farmers.com,Private,"Market value as of March 31, 2021.",,2024-06-04
274,Casey's General Stores,CASY,Retailing,Specialty Retailers: Other,yes,no,no,yes,42.0,yes,no,no,no,no,no,31637,11788.1,15094.5,16.5,446.7,31.5,5943.3,Darren M. Rebelez,U.S.,Ankeny,Iowa,https://www.caseys.com,Public,"Figures are for fiscal year ended April 30, 2023. Market value as of March 28, 2024.",11788.0,2024-06-04
275,IQVIA Holdings,IQV,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,11.0,yes,no,no,no,yes,no,87000,46029.4,14984.0,4.0,1358.0,24.5,26681.0,Ari Bousbib,U.S.,Durham,North Carolina,https://www.iqvia.com,Public,"Market value as of March 28, 2024.",46029.0,2024-06-04
276,Republic Services,RSG,Business Services,Waste Management,yes,no,no,yes,33.0,yes,no,no,no,yes,no,41000,60229.0,14964.5,10.8,1731.0,16.4,31410.1,Jon Vander Ark,U.S.,Phoenix,Arizona,https://www.republicservices.com,Public,"Market value as of March 28, 2024.",60229.0,2024-06-04
277,Fox,FOXA,Media,Entertainment,yes,no,no,no,23.0,yes,no,no,no,no,no,10400,14225.1,14913.0,6.7,1239.0,2.8,21866.0,Lachlan K. Murdoch,U.S.,New York,New York,https://www.foxcorporation.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",14225.0,2024-06-04
278,Gap,GPS,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-13.0,no,yes,no,no,no,no,85000,10290.3,14889.0,-4.7,502.0,,11044.0,Richard Dickson,U.S.,San Francisco,California,https://www.gapinc.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",10290.0,2024-06-04
279,Keurig Dr Pepper,KDP,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,17.0,yes,no,no,no,yes,no,28100,42557.4,14814.0,5.4,2181.0,51.9,52130.0,Timothy P. Cofer,U.S.,Burlington,Massachusetts,https://keurig.com,Public,"Market value as of March 28, 2024.",42557.0,2024-06-04
280,Reliance,RS,Materials,Metals,yes,no,yes,yes,-33.0,no,yes,no,no,yes,no,15250,19190.4,14805.9,-13.0,1335.9,-27.4,10480.3,Karla R. Lewis,U.S.,Scottsdale,Arizona,https://reliance.com,Public,"Changed name from Reliance Steel & Aluminum, Feb. 26, 2024. Market value as of March 28, 2024.",19190.0,2024-06-04
281,Asbury Automotive Group,ABG,Retailing,"Automotive Retailing, Services",yes,no,no,yes,-13.0,no,yes,no,no,no,no,15000,4810.9,14802.7,-4.1,602.5,-39.6,10159.4,David W. Hult,U.S.,Duluth,Georgia,https://www.asburyauto.com,Public,"Market value as of March 28, 2024.",4811.0,2024-06-04
282,Pacific Life,,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,30.0,yes,no,no,no,no,no,4181,,14802.0,10.8,875.0,14.7,217386.0,Darryl D. Button,U.S.,Newport Beach,California,https://www.pacificlife.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,2024-06-04
283,Vistra,VST,Energy,Energy,yes,no,no,no,21.0,yes,no,no,no,no,no,4870,24230.2,14779.0,7.7,1493.0,,32966.0,James A. Burke,U.S.,Irving,Texas,https://www.vistracorp.com,Public,"Market value as of March 28, 2024.",24230.0,2024-06-04
284,Western & Southern Financial Group,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,30.0,yes,no,no,no,no,no,2669,,14775.1,12.3,484.8,56.8,75968.9,John F. Barrett,U.S.,Cincinnati,Ohio,https://www.westernsouthern.com,Private,"Market value as of March 31, 2021.",,2024-06-04
285,Andersons,ANDE,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-46.0,no,yes,no,no,no,no,2297,1953.4,14750.1,-15.0,101.2,-22.8,3855.0,Patrick E. Bowe,U.S.,Maumee,Ohio,https://www.andersonsinc.com,Public,"Market value as of March 28, 2024.",1953.0,2024-06-04
286,Nordstrom,JWN,Retailing,General Merchandisers,yes,no,no,no,-19.0,no,yes,no,no,yes,no,54000,3309.2,14693.0,-5.4,134.0,-45.3,8444.0,Erik B. Nordstrom,U.S.,Seattle,Washington,https://www.nordstrom.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",3309.0,2024-06-04
287,Omnicom Group,OMC,Business Services,"Advertising, marketing",yes,no,no,yes,3.0,yes,no,no,no,no,no,75900,19081.1,14692.2,2.8,1391.4,5.7,28044.6,John D. Wren,U.S.,New York,New York,https://www.omnicomgroup.com,Public,"Market value as of March 28, 2024.",19081.0,2024-06-04
288,Fidelity National Information Services,FIS,Business Services,Financial Data Services,no,no,yes,no,-5.0,no,yes,no,no,no,no,60000,42762.2,14680.0,1.0,-6654.0,,55105.0,Stephanie L. Ferris,U.S.,Jacksonville,Florida,https://www.fisglobal.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",42762.0,2024-06-04
289,Consolidated Edison,ED,Energy,Utilities: Gas and Electric,yes,no,no,yes,-25.0,no,yes,no,no,no,no,14592,31375.8,14663.0,-6.4,2519.0,51.7,66331.0,Timothy P. Cawley,U.S.,New York,New York,https://www.conedison.com,Public,"Market value as of March 28, 2024.",31376.0,2024-06-04
290,CSX,CSX,Transportation,Railroads,yes,no,no,yes,-11.0,no,yes,no,no,yes,no,23232,72568.0,14657.0,-1.3,3715.0,-10.8,42408.0,Joseph R. Hinrichs,U.S.,Jacksonville,Florida,https://www.csx.com,Public,"Market value as of March 28, 2024.",72568.0,2024-06-04
291,AECOM,ACM,Engineering & Construction,Engineering & Construction,yes,no,no,yes,19.0,yes,no,no,no,yes,no,52000,13341.2,14591.3,8.1,55.3,-82.2,11233.4,W. Troy Rudd,U.S.,Dallas,Texas,https://www.aecom.com,Public,"Includes revenues from discontinued operations. Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",13341.0,2024-06-04
